ds,yhat,yhat_lower,yhat_upper
2016-09-30,266956.6529382968,-9034.312232602042,548593.5114007201
2016-10-31,37636.31938134234,-230174.97322809618,328381.0947039696
2016-11-30,67752.96161821921,-204572.44610013053,355859.9190609376
2016-12-31,135303.67195229544,-140971.0889234349,395044.34562435065
2017-01-31,399989.70282696804,118763.46663597772,674794.37293595
2017-02-28,543284.0203349405,279405.4225640496,808835.251288052
2017-03-31,639848.7449609304,367180.15297001135,934864.4663363348
2017-04-30,515091.50610876724,229005.6835544714,779750.9101816817
2017-05-31,644226.8931474856,348533.56330461346,923756.964316429
2017-06-30,451175.21850298013,160476.2458832695,706599.8247373889
2017-07-31,551426.8408834208,264792.54928281857,821244.1834670178
2017-08-31,678068.1786086294,422663.91219417023,958469.0697270485
2017-09-30,335397.2811276525,80367.9191990431,597540.2516901623
2017-10-31,1049062.9158328467,766713.9357613587,1307515.6170254136
2017-11-30,1504650.4246226766,1242664.9297222404,1782010.3548820694
2017-12-31,905729.9895313857,636975.2456727913,1175224.9579907989
2018-01-31,1190677.8332164518,923243.2326738106,1466514.4199209632
2018-02-28,1095178.756256557,810975.688548792,1387402.6590822404
2018-03-31,1352417.4538217585,1088953.8356338255,1611299.707255521
2018-04-30,1464618.590033828,1201518.247391766,1730916.7256413156
2018-05-31,1571360.2158429895,1292922.7859077414,1850945.51357068
2018-06-30,1440718.9612926617,1188244.0842786168,1715744.2191698626
2018-07-31,1497878.3990685847,1251439.4912950916,1773090.5490323068
2018-08-31,1408299.9316653872,1139631.760152927,1673502.7565853233
2018-09-30,411358.14762570406,142636.2174239927,708822.7938142961
2018-10-31,2080540.1870588511,1806032.0549736654,2338011.1543999724
2018-11-30,2939942.901489107,2664218.69011424,3203261.722252631
2018-12-31,1665146.178570513,1382952.6841187205,1944530.2762440308
2019-01-31,1974395.5403391751,1678738.2113946278,2248725.407013117
2019-02-28,1647626.1235039043,1371436.621998662,1919776.8855765467
2019-03-31,2072186.5933057584,1783222.3423581377,2365846.5605077147
